Designator,Mid X,Mid Y,Rotation,Layer
12VLED1,136.296532,-116.98477,0.0,top
3V3LED1,162.456532,-113.56477,90.0,top
BOOTJUMPER1,141.296532,-121.56977,0.0,top
C1,143.146532,-117.42977,0.0,top
C10,139.605,-109.45,180.0,top
C11,149.656532,-111.48477,0.0,top
C12,103.426532,-101.68477,180.0,top
C13,136.756532,-110.56477,0.0,top
C14,136.666532,-114.32477,180.0,top
C15,132.836534,-104.865255,0.0,top
C16,132.836534,-103.945254,0.0,top
C17,128.146534,-104.395254,90.0,top
C18,104.546532,-106.17477,270.0,top
C19,103.626532,-106.17477,270.0,top
C2,137.576532,-117.99477,180.0,top
C20,153.713676,-113.849147,180.0,top
C21,156.491532,-113.20477,0.0,top
C22,153.713676,-112.929147,180.0,top
C23,156.303676,-108.134147,0.0,top
C24,151.546532,-103.509639,90.0,top
C25,151.546532,-105.58477,270.0,top
C26,159.893676,-106.509147,90.0,top
C27,160.813676,-106.509147,90.0,top
C28,106.796532,-110.26477,180.0,top
C29,106.736532,-105.92477,180.0,top
C3,138.956532,-117.55477,90.0,top
C30,106.726533,-107.89477,180.0,top
C31,107.686532,-101.44477,180.0,top
C32,107.936532,-116.36477,0.0,top
C33,109.356532,-103.18477,0.0,top
C34,101.526532,-98.61477,270.0,top
C35,106.786532,-109.33477,180.0,top
C36,106.796532,-111.194769,180.0,top
C37,114.153036,-106.474771,0.0,top
C38,117.628036,-115.546199,0.0,top
C39,116.423036,-111.036199,90.0,top
C4,141.286532,-117.43477,180.0,top
C40,117.343036,-111.036199,90.0,top
C41,114.243036,-111.34477,0.0,top
C42,112.866532,-100.404771,180.0,top
C43,114.243036,-109.38477,0.0,top
C44,113.343037,-115.806199,0.0,top
C45,111.603036,-114.076199,180.0,top
C46,114.166532,-107.67477,0.0,top
C47,114.156532,-105.544771,0.0,top
C48,119.386532,-118.601198,90.0,top
C49,166.585,-108.93,180.0,top
C5,141.286532,-116.50477,180.0,top
C50,143.925,-101.89,270.0,top
C51,144.845,-102.97,270.0,top
C52,143.925,-103.88,270.0,top
C53,165.165,-94.7875,0.0,top
